projectDescriptionID,trapVisitID,visitTime,siteName,subSiteName,visitType,fishProcessed,trapFunctioning,counterAtEnd,rpmRevolutionsAtStart,rpmRevolutionsAtEnd,includeCatch,discharge,waterVel,waterTemp,turbidity
2,69,1998-01-27T15:45:00Z,Live Oak,Live Oak,End trapping,Processed fish,Not recorded,6673,NA,4.5,Yes,NA,NA,9.722222,NA
2,70,1998-01-28T08:42:00Z,Live Oak,Live Oak,Start trap & begin trapping,Not applicable,Trap not in service,NA,NA,NA,Yes,NA,NA,NA,NA
2,71,1998-01-28T10:00:00Z,Eye Riffle,Eye riffle_north,Continue trapping,Processed fish,Not recorded,2366,NA,1.6,Yes,NA,NA,9.166667,NA
2,72,1998-01-28T15:45:00Z,Live Oak,Live Oak,Continue trapping,Processed fish,Not recorded,976,NA,2.5,Yes,NA,NA,9.722222,NA
2,73,1998-01-29T09:39:00Z,Eye Riffle,Eye riffle_north,Continue trapping,Processed fish,Not recorded,2540,NA,2.2,Yes,NA,NA,9.166667,NA
2,74,1998-01-29T12:59:00Z,Live Oak,Live Oak,Continue trapping,Processed fish,Not recorded,4846,NA,4.3,Yes,NA,NA,10.27778,NA
2,75,1998-01-30T10:00:00Z,Eye Riffle,Eye riffle_north,Continue trapping,Processed fish,Not recorded,2457,NA,1.9,Yes,NA,NA,9.166667,NA
2,76,1998-01-30T13:57:00Z,Live Oak,Live Oak,Continue trapping,Processed fish,Not recorded,6975,NA,4.4,Yes,NA,NA,10,NA
2,77,1998-01-31T09:40:00Z,Eye Riffle,Eye riffle_north,Continue trapping,Processed fish,Not recorded,2230,NA,1.9,Yes,NA,NA,8.333333,NA
2,78,1998-01-31T13:06:00Z,Live Oak,Live Oak,Continue trapping,Processed fish,Not recorded,1063,NA,3.7,Yes,NA,NA,10.27778,NA
2,79,1998-02-01T09:30:00Z,Eye Riffle,Eye riffle_north,Continue trapping,Processed fish,Not recorded,2067,NA,2.1,Yes,NA,NA,9.444445,NA
2,80,1998-02-01T12:48:00Z,Live Oak,Live Oak,Continue trapping,Processed fish,Not recorded,NA,NA,3.7,Yes,NA,NA,10,NA
2,81,1998-02-02T10:25:00Z,Eye Riffle,Eye riffle_north,Continue trapping,Processed fish,Not recorded,2528,NA,1.5,Yes,NA,NA,9.444445,NA
2,82,1998-02-02T13:50:00Z,Live Oak,Live Oak,End trapping,Processed fish,Not recorded,5833,NA,4.3,Yes,NA,NA,10,NA
2,83,1998-02-03T09:16:00Z,Eye Riffle,Eye riffle_north,End trapping,Processed fish,Not recorded,2439,NA,2,Yes,NA,NA,10,NA
2,84,1998-02-14T11:26:00Z,Live Oak,Live Oak,Start trap & begin trapping,Not applicable,Trap not in service,NA,NA,NA,Yes,NA,NA,NA,NA
2,85,1998-02-14T12:53:00Z,Eye Riffle,Eye riffle_north,Start trap & begin trapping,Not applicable,Trap not in service,NA,NA,NA,Yes,NA,NA,NA,NA
2,86,1998-02-15T10:53:00Z,Eye Riffle,Eye riffle_north,Continue trapping,Processed fish,Not recorded,2857,NA,1.2,Yes,NA,NA,9.444445,NA
2,87,1998-02-15T14:01:00Z,Live Oak,Live Oak,Continue trapping,Processed fish,Not recorded,1943,NA,6.5,Yes,NA,NA,9.722222,NA
2,88,1998-02-16T09:50:00Z,Eye Riffle,Eye riffle_north,Continue trapping,Processed fish,Not recorded,1680,NA,1.5,Yes,NA,NA,8.888889,NA
2,89,1998-02-16T12:41:00Z,Live Oak,Live Oak,Continue trapping,Processed fish,Not recorded,6901,NA,5,Yes,NA,NA,8.333333,NA
2,90,1998-02-17T10:50:00Z,Eye Riffle,Eye riffle_north,Continue trapping,Processed fish,Not recorded,NA,NA,0.75,Yes,NA,NA,8.888889,NA
2,91,1998-02-17T14:16:00Z,Live Oak,Live Oak,Continue trapping,Processed fish,Not recorded,3677,NA,5,Yes,NA,NA,9.444445,NA
2,92,1998-02-18T09:51:00Z,Eye Riffle,Eye riffle_north,Continue trapping,Processed fish,Not recorded,1327,NA,1.2,Yes,NA,NA,8.888889,NA
2,93,1998-02-18T12:41:00Z,Live Oak,Live Oak,Continue trapping,Processed fish,Not recorded,6075,NA,4.6,Yes,NA,NA,9.444445,NA
2,94,1998-02-19T10:55:00Z,Eye Riffle,Eye riffle_north,Continue trapping,Processed fish,Not recorded,1520,NA,1,Yes,NA,NA,8.888889,NA
2,95,1998-02-19T15:06:00Z,Live Oak,Live Oak,Continue trapping,Processed fish,Not recorded,6803,NA,4.8,Yes,NA,NA,9.444445,NA
2,96,1998-02-20T10:35:00Z,Eye Riffle,Eye riffle_north,Continue trapping,Processed fish,Not recorded,1665,NA,1.3,Yes,NA,NA,8.333333,NA
2,97,1998-02-20T14:30:00Z,Live Oak,Live Oak,Continue trapping,Processed fish,Not recorded,NA,NA,5.8,Yes,NA,NA,8.888889,NA
2,98,1998-02-21T10:50:00Z,Eye Riffle,Eye riffle_north,Continue trapping,Processed fish,Not recorded,1530,NA,1.3,Yes,NA,NA,8.888889,NA
2,99,1998-02-21T14:06:00Z,Live Oak,Live Oak,Continue trapping,Processed fish,Not recorded,5042,NA,5,Yes,NA,NA,9.444445,NA
2,100,1998-02-22T11:46:00Z,Eye Riffle,Eye riffle_north,Continue trapping,Processed fish,Not recorded,2010,NA,1,Yes,NA,NA,9.444445,NA
2,101,1998-02-22T15:25:00Z,Live Oak,Live Oak,Continue trapping,Processed fish,Not recorded,2603,NA,5.6,Yes,NA,NA,10,NA
2,102,1998-02-23T10:23:00Z,Eye Riffle,Eye riffle_north,Continue trapping,Processed fish,Not recorded,NA,NA,1.4,Yes,NA,NA,9.166667,NA
2,103,1998-02-23T13:02:00Z,Live Oak,Live Oak,Continue trapping,Processed fish,Not recorded,6952,NA,5.5,Yes,NA,NA,8.611111,NA
2,104,1998-02-24T11:03:00Z,Eye Riffle,Eye riffle_north,Continue trapping,Processed fish,Not recorded,1660,NA,1.1,Yes,NA,NA,8.333333,NA
2,105,1998-02-24T14:30:00Z,Live Oak,Live Oak,Continue trapping,Processed fish,Not recorded,5266,NA,6.5,Yes,NA,NA,8.888889,NA
2,106,1998-02-25T09:30:00Z,Eye Riffle,Eye riffle_north,Continue trapping,Processed fish,Not recorded,1249,NA,0.9,Yes,NA,NA,8.333333,NA
2,107,1998-02-25T12:55:00Z,Live Oak,Live Oak,Continue trapping,Processed fish,Not recorded,6759,NA,4.8,Yes,NA,NA,8.888889,NA
2,108,1998-02-26T10:13:00Z,Eye Riffle,Eye riffle_north,Continue trapping,Processed fish,Not recorded,1171,NA,0.6,Yes,NA,NA,8.611111,NA
2,109,1998-02-26T14:10:00Z,Live Oak,Live Oak,Continue trapping,Processed fish,Not recorded,4818,NA,5.3,Yes,NA,NA,10,NA
2,110,1998-02-27T10:31:00Z,Eye Riffle,Eye riffle_north,Continue trapping,Processed fish,Not recorded,1028,NA,0.8,Yes,NA,NA,8.888889,NA
2,111,1998-02-27T13:56:00Z,Live Oak,Live Oak,Continue trapping,Processed fish,Not recorded,5880,NA,4.8,Yes,NA,NA,10,NA
2,112,1998-02-28T09:33:00Z,Eye Riffle,Eye riffle_north,Continue trapping,Processed fish,Not recorded,809,NA,0.8,Yes,NA,NA,9.166667,NA
2,113,1998-02-28T12:40:00Z,Live Oak,Live Oak,Continue trapping,Processed fish,Not recorded,6393,NA,5,Yes,NA,NA,9.444445,NA
2,114,1998-03-01T09:30:00Z,Eye Riffle,Eye riffle_north,Continue trapping,Processed fish,Not recorded,726,NA,0.6,Yes,NA,NA,9.444445,NA
2,115,1998-03-01T12:20:00Z,Live Oak,Live Oak,Continue trapping,Processed fish,Not recorded,4374,NA,4.8,Yes,NA,NA,9.444445,NA
2,116,1998-03-02T10:53:00Z,Eye Riffle,Eye riffle_north,Continue trapping,Processed fish,Not recorded,569,NA,0.3,Yes,NA,NA,9.166667,NA
2,117,1998-03-02T12:46:00Z,Live Oak,Live Oak,Continue trapping,Processed fish,Not recorded,7203,NA,4.5,Yes,NA,NA,9.444445,NA
2,118,1998-03-03T12:23:00Z,Eye Riffle,Eye riffle_north,Continue trapping,Processed fish,Not recorded,478,NA,0,Yes,NA,NA,10,NA
2,119,1998-03-03T15:54:00Z,Live Oak,Live Oak,Continue trapping,Processed fish,Not recorded,8242,NA,6.5,Yes,NA,NA,10.55556,NA
2,120,1998-03-04T10:08:00Z,Eye Riffle,Eye riffle_north,Continue trapping,Processed fish,Not recorded,1131,NA,3,Yes,NA,NA,9.166667,NA
2,121,1998-03-04T12:56:00Z,Live Oak,Live Oak,Continue trapping,Processed fish,Not recorded,6251,NA,4.7,Yes,NA,NA,9.444445,NA
2,122,1998-03-05T09:31:00Z,Eye Riffle,Eye riffle_north,Continue trapping,Processed fish,Not recorded,1482,NA,1.3,Yes,NA,NA,8.611111,NA
2,123,1998-03-05T12:23:00Z,Live Oak,Live Oak,Continue trapping,Processed fish,Not recorded,4463,NA,3.3,Yes,NA,NA,8.888889,NA
2,124,1998-03-06T09:50:00Z,Eye Riffle,Eye riffle_north,Continue trapping,Processed fish,Not recorded,1592,NA,1.4,Yes,NA,NA,7.777778,NA
2,125,1998-03-06T12:25:00Z,Live Oak,Live Oak,Continue trapping,Processed fish,Not recorded,4695,NA,4.3,Yes,NA,NA,9.166667,NA
2,126,1998-03-07T09:30:00Z,Eye Riffle,Eye riffle_north,Continue trapping,Processed fish,Not recorded,1583,NA,1.5,Yes,NA,NA,8.888889,NA
2,127,1998-03-07T12:35:00Z,Live Oak,Live Oak,Continue trapping,Processed fish,Not recorded,10,NA,3,Yes,NA,NA,8.888889,NA
2,128,1998-03-08T10:38:00Z,Eye Riffle,Eye riffle_north,Continue trapping,Processed fish,Not recorded,1780,NA,1.5,Yes,NA,NA,8.888889,NA
2,129,1998-03-08T14:24:00Z,Live Oak,Live Oak,Continue trapping,Processed fish,Not recorded,4051,NA,3.2,Yes,NA,NA,10,NA
2,130,1998-03-09T09:45:00Z,Eye Riffle,Eye riffle_north,Continue trapping,Processed fish,Not recorded,1652,NA,1.4,Yes,NA,NA,8.888889,NA
2,131,1998-03-09T13:59:00Z,Live Oak,Live Oak,Continue trapping,Processed fish,Not recorded,4020,NA,2.8,Yes,NA,NA,10.55556,NA
2,132,1998-03-10T09:14:00Z,Eye Riffle,Eye riffle_north,Continue trapping,Processed fish,Not recorded,1616,NA,1.3,Yes,NA,NA,9.444445,NA
2,133,1998-03-10T11:30:00Z,Live Oak,Live Oak,Continue trapping,Processed fish,Not recorded,3537,NA,2.8,Yes,NA,NA,10.55556,NA
2,134,1998-03-11T09:41:00Z,Eye Riffle,Eye riffle_north,Continue trapping,Processed fish,Not recorded,1617,NA,0.7,Yes,NA,NA,9.722222,NA
2,135,1998-03-11T11:35:00Z,Live Oak,Live Oak,Continue trapping,Processed fish,Not recorded,4076,NA,2.9,Yes,NA,NA,10.55556,NA
2,136,1998-03-12T09:43:00Z,Eye Riffle,Eye riffle_north,Continue trapping,Processed fish,Not recorded,1679,NA,1.3,Yes,NA,NA,9.444445,NA
2,137,1998-03-12T11:36:00Z,Live Oak,Live Oak,Continue trapping,Processed fish,Not recorded,3964,NA,2.8,Yes,NA,NA,10.55556,NA
2,138,1998-03-13T09:41:00Z,Eye Riffle,Eye riffle_north,Continue trapping,Processed fish,Not recorded,1837,NA,1.3,Yes,NA,NA,9.444445,NA
2,139,1998-03-13T12:42:00Z,Live Oak,Live Oak,Continue trapping,Processed fish,Not recorded,4231,NA,3,Yes,NA,NA,10.55556,NA
2,140,1998-03-14T09:24:00Z,Eye Riffle,Eye riffle_north,Continue trapping,Processed fish,Not recorded,1584,NA,0.8,Yes,NA,NA,10,NA
2,141,1998-03-14T11:23:00Z,Live Oak,Live Oak,Continue trapping,Processed fish,Not recorded,8059,NA,2.9,Yes,NA,NA,10.83333,NA
2,142,1998-03-15T09:28:00Z,Eye Riffle,Eye riffle_north,Continue trapping,Processed fish,Not recorded,1620,NA,0.8,Yes,NA,NA,10.55556,NA
2,143,1998-03-15T13:00:00Z,Live Oak,Live Oak,Continue trapping,Processed fish,Not recorded,4122,NA,2.7,Yes,NA,NA,11.66667,NA
2,144,1998-03-16T13:40:00Z,Eye Riffle,Eye riffle_north,Continue trapping,Processed fish,Not recorded,561,NA,0.8,Yes,NA,NA,11.66667,NA
2,145,1998-03-16T15:54:00Z,Live Oak,Live Oak,Continue trapping,Processed fish,Not recorded,4191,NA,2.8,Yes,NA,NA,12.22222,NA
2,146,1998-03-17T11:04:00Z,Eye Riffle,Eye riffle_north,Continue trapping,Processed fish,Not recorded,633,NA,0.9,Yes,NA,NA,10.83333,NA
2,147,1998-03-17T13:45:00Z,Live Oak,Live Oak,Continue trapping,Processed fish,Not recorded,2841,NA,0.8,Yes,NA,NA,12.5,NA
2,148,1998-03-18T14:06:00Z,Eye Riffle,Eye riffle_north,Continue trapping,Processed fish,Not recorded,757,NA,1.8,Yes,NA,NA,11.66667,NA
2,149,1998-03-18T16:52:00Z,Live Oak,Live Oak,Continue trapping,Processed fish,Not recorded,3730,NA,2.3,Yes,NA,NA,13.05556,NA
2,150,1998-03-19T11:10:00Z,Eye Riffle,Eye riffle_north,Continue trapping,Processed fish,Not recorded,1091,NA,0.7,Yes,NA,NA,10.55556,NA
2,151,1998-03-19T13:42:00Z,Live Oak,Live Oak,Continue trapping,Processed fish,Not recorded,4426,NA,4.4,Yes,NA,NA,11.66667,NA
2,152,1998-03-20T11:10:00Z,Eye Riffle,Eye riffle_north,Continue trapping,Processed fish,Not recorded,NA,NA,0.9,Yes,NA,NA,11.11111,NA
2,153,1998-03-20T12:50:00Z,Live Oak,Live Oak,Continue trapping,Processed fish,Not recorded,5070,NA,3.5,Yes,NA,NA,11.38889,NA
2,154,1998-03-21T11:15:00Z,Eye Riffle,Eye riffle_north,Continue trapping,Processed fish,Not recorded,793,NA,0.2,Yes,NA,NA,11.11111,NA
2,155,1998-03-21T13:13:00Z,Live Oak,Live Oak,Continue trapping,Processed fish,Not recorded,5733,NA,4.5,Yes,NA,NA,10.55556,NA
2,156,1998-03-22T10:36:00Z,Eye Riffle,Eye riffle_north,Continue trapping,Processed fish,Not recorded,582,NA,0.3,Yes,NA,NA,10.55556,NA
2,157,1998-03-22T13:18:00Z,Live Oak,Live Oak,Continue trapping,Processed fish,Not recorded,6815,NA,5,Yes,NA,NA,10.27778,NA
2,158,1998-03-23T09:10:00Z,Eye Riffle,Eye riffle_north,Continue trapping,Processed fish,Not recorded,889,NA,0.8,Yes,NA,NA,10.27778,NA
2,159,1998-03-23T10:44:00Z,Live Oak,Live Oak,Continue trapping,Processed fish,Not recorded,6016,NA,4.8,Yes,NA,NA,10.27778,NA
2,160,1998-03-24T13:43:00Z,Live Oak,Live Oak,Continue trapping,Processed fish,Not recorded,7457,NA,4.8,Yes,NA,NA,11.11111,NA
2,161,1998-03-24T15:36:00Z,Eye Riffle,Eye riffle_north,Continue trapping,Processed fish,Not recorded,1313,NA,1,Yes,NA,NA,11.11111,NA
2,162,1998-03-25T09:52:00Z,Eye Riffle,Eye riffle_north,End trapping,Processed fish,Not recorded,811,NA,0.7,Yes,NA,NA,11.11111,NA
2,163,1998-03-25T13:18:00Z,Live Oak,Live Oak,End trapping,Processed fish,Not recorded,7081,NA,6.4,Yes,NA,NA,11.66667,NA
2,164,1998-04-01T11:01:00Z,Eye Riffle,Eye riffle_north,Start trap & begin trapping,Not applicable,Trap not in service,NA,NA,NA,Yes,NA,NA,NA,NA
2,165,1998-04-01T12:11:00Z,Live Oak,Live Oak,Start trap & begin trapping,Not applicable,Trap not in service,NA,NA,NA,Yes,NA,NA,NA,NA
2,166,1998-04-02T11:00:00Z,Live Oak,Live Oak,Continue trapping,Processed fish,Not recorded,6381,NA,4.7,Yes,NA,NA,10.55556,NA
2,167,1998-04-02T12:27:00Z,Eye Riffle,Eye riffle_north,Continue trapping,Processed fish,Not recorded,1709,NA,1.1,Yes,NA,NA,10.27778,NA
2,168,1998-04-03T10:51:00Z,Eye Riffle,Eye riffle_north,Continue trapping,Processed fish,Not recorded,1423,NA,1,Yes,NA,NA,9.444445,NA
2,169,1998-04-03T12:30:00Z,Live Oak,Live Oak,Continue trapping,Processed fish,Not recorded,6915,NA,4.8,Yes,NA,NA,9.722222,NA
2,170,1998-04-04T10:05:00Z,Eye Riffle,Eye riffle_north,Continue trapping,Processed fish,Not recorded,1785,NA,1.7,Yes,NA,NA,9.166667,NA
2,171,1998-04-04T12:10:00Z,Live Oak,Live Oak,Continue trapping,Processed fish,Not recorded,7395,NA,4.6,Yes,NA,NA,9.444445,NA
2,172,1998-04-05T11:05:00Z,Eye Riffle,Eye riffle_north,Continue trapping,Processed fish,Not recorded,2453,NA,2,Yes,NA,NA,10,NA
